tfidf_cosine_sim,embedding_cosine_sim,reason_resume_sim,skill_overlap_count,skill_overlap_ratio,resume_skill_count,jd_skill_count,skill_gap,resume_length,jd_length,length_ratio,role_in_resume,seniority_match,skill_diversity
0.059722,0.552434,0.245172,10,0.6666666666666666,14,15,5,347,22,15.08695652173913,0,0,1
0.039744,0.541713,0.090772,9,0.6428571428571429,20,14,5,385,20,18.333333333333332,1,0,2
0.063026,0.481311,0.202125,8,0.5333333333333333,11,15,7,304,22,13.217391304347826,1,0,3
0.069287,0.534899,0.006012,9,0.6,11,15,6,374,20,17.80952380952381,1,0,2
0.100203,0.484922,0.155975,9,0.6,12,15,6,354,20,16.857142857142858,1,1,2
0.029876,0.564534,0.317422,7,0.5,12,14,7,308,22,13.391304347826088,0,0,0
0.123848,0.549467,0.199902,10,0.5882352941176471,24,17,7,330,24,13.2,1,0,4
0.123914,0.63681,0.201545,6,0.375,10,16,10,315,24,12.6,1,0,2
0.054961,0.479802,0.039999,10,0.5,23,20,10,385,22,16.73913043478261,1,1,4
0.078722,0.638841,0.259796,6,0.42857142857142855,10,14,8,413,22,17.956521739130434,1,0,0
0.065432,0.632762,0.227567,8,0.5714285714285714,15,14,6,349,20,16.61904761904762,1,0,1
0.093506,0.664512,0.250502,8,0.5714285714285714,17,14,6,309,22,13.434782608695652,1,0,4
0.085626,0.590305,0.213096,10,0.7692307692307693,22,13,3,322,20,15.333333333333334,1,1,2
0.1043,0.660703,0.198158,9,0.5294117647058824,20,17,8,367,24,14.68,1,1,3
0.090786,0.549912,0.287536,9,0.5294117647058824,14,17,8,393,22,17.08695652173913,1,1,2
0.106781,0.646029,0.2474,13,0.8125,23,16,3,368,20,17.523809523809526,1,0,4
0.056379,0.48661,0.365327,10,0.6666666666666666,19,15,5,437,20,20.80952380952381,1,0,3
0.035908,0.468847,0.203337,11,0.6875,26,16,5,411,25,15.807692307692308,1,1,3
0.073331,0.454425,0.195059,11,0.6875,19,16,5,365,20,17.38095238095238,1,0,2
0.07923,0.558461,0.299115,11,0.7333333333333333,20,15,4,380,24,15.2,1,0,2
0.116606,0.505905,0.418,10,0.6666666666666666,19,15,5,401,21,18.227272727272727,1,0,2
0.059449,0.513086,0.219384,13,0.6842105263157895,29,19,6,368,18,19.36842105263158,1,0,5
0.080698,0.606734,0.279061,7,0.5384615384615384,23,13,6,378,19,18.9,1,1,4
0.081868,0.519178,0.030186,13,0.8125,23,16,3,366,20,17.428571428571427,1,0,2
0.08718,0.67804,0.49451,7,0.5384615384615384,10,13,6,372,19,18.6,1,1,2
0.103273,0.645992,0.240418,8,0.5714285714285714,13,14,6,322,19,16.1,1,0,2
0.048837,0.484691,0.341653,8,0.4444444444444444,26,18,10,383,19,19.15,1,0,4
0.088723,0.505958,0.15911,12,0.75,21,16,4,347,19,17.35,1,0,2
0.099256,0.691547,0.11181,5,0.35714285714285715,9,14,9,417,20,19.857142857142858,1,0,0
0.075466,0.508618,0.312765,13,0.7647058823529411,26,17,4,353,16,20.764705882352942,1,1,2
0.104352,0.543584,0.095847,7,0.5,15,14,7,412,16,24.235294117647058,1,1,3
0.11563,0.572954,0.055343,10,0.7142857142857143,11,14,4,356,22,15.478260869565217,1,1,2
0.100951,0.4496,0.286781,11,0.7333333333333333,17,15,4,318,22,13.826086956521738,1,1,3
0.058632,0.4743,0.340615,11,0.7333333333333333,23,15,4,364,20,17.333333333333332,1,0,2
0.095978,0.606799,0.22134,9,0.5294117647058824,19,17,8,378,22,16.434782608695652,1,0,2
0.063226,0.405871,0.266461,7,0.4666666666666667,10,15,8,421,25,16.192307692307693,1,1,2
0.117891,0.511401,0.174256,5,0.35714285714285715,12,14,9,377,23,15.708333333333334,1,0,2
0.098489,0.477404,0.222401,8,0.5333333333333333,14,15,7,326,16,19.176470588235293,1,0,2
